gas,brake,rpm,steer,speed,g_force_x,g_force_y,g_force_z,wheel_slip_front_left,wheel_slip_front_right,wheel_slip_rear_left,wheel_slip_rear_right,pressure_front_left,pressure_front_right,pressure_rear_left,pressure_rear_right,tyre_temp_front_left,tyre_temp_front_right,tyre_temp_rear_left,tyre_temp_rear_right,air_temp,road_temp,yaw_rate,current_time_str,normalized_car_position,wind_speed,wind_direction,result
0.0,0.0,2350,-0.012622950598597527,0.0034141989890486,0.0,0.0,0.0,0.09340126812458038,0.09004895389080048,0.10057176649570465,0.09831762313842773,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,-0.0012213337467983365,0:15:216,0.9942469000816345,0.0,0.0,neutral
0.0,0.0,2350,-0.012622950598597527,0.0001203685169457458,0.0,0.0,0.0,0.09333279728889465,0.09008938074111938,0.09796023368835449,0.10097590833902359,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,-0.0012266803532838821,0:15:336,0.9942469000816345,0.0,0.0,neutral
0.0,0.0,2350,-0.012622950598597527,0.0008235545246861875,0.0,0.0,0.0,0.08882556110620499,0.09468197822570801,0.10471193492412567,0.09399013966321945,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,0.002429947257041931,0:15:477,0.9942469000816345,0.0,0.0,neutral
0.0,0.0,2350,-0.012622950598597527,0.006576073821634054,0.0,0.0,0.0,0.0933443158864975,0.09001870453357697,0.10061535984277725,0.09818706661462784,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,-0.0012616973835974932,0:15:597,0.9942469000816345,0.0,0.0,neutral
0.0,0.0,2350,-0.012622950598597527,0.0034307665191590786,0.0,0.0,0.0,0.09100251644849777,0.09230118989944458,0.10183228552341461,0.09699920564889908,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,7.026804951237864e-07,0:15:717,0.9942469000816345,0.0,0.0,neutral
0.0,0.0,2350,-0.012622950598597527,0.0012275121407583356,0.0,0.0,0.0,0.09625966101884842,0.08705995231866837,0.0949145033955574,0.10388389974832535,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,-0.0027678010519593954,0:15:837,0.9942469000816345,0.0,0.0,neutral
0.03435000777244568,0.0,2361,-0.012622950598597527,0.004394900519400835,0.0,0.0,0.0,0.09213002771139145,0.0913560688495636,0.09660544246435165,0.1021551713347435,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,-0.0011846910929307342,0:15:957,0.9942469000816345,0.0,0.0,neutral
0.05910000205039978,0.0,2469,-0.012950818985700607,0.0027457403484731913,0.0,0.0,0.0,0.09137129038572311,0.0913086086511612,0.09407676011323929,0.10485544055700302,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,-0.0017224136972799897,0:16:077,0.9942469000816345,0.0,0.0,neutral
0.06640002131462097,0.0,2556,-0.011311475187540054,0.0033456762321293354,0.0,0.0,0.0,0.09642979502677917,0.08645645529031754,0.09669925272464752,0.10227306932210922,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,-0.0022280022967606783,0:16:218,0.9942469000816345,0.0,0.0,neutral
0.08330002427101135,0.0,2647,-0.006065573543310165,0.001973116770386696,0.0,0.0,0.0,0.10746843367815018,0.07663846760988235,0.09333625435829163,0.10536935180425644,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,3.838090196950361e-05,0:16:338,0.9942469000816345,0.0,0.0,neutral
0.09920001029968262,0.0,2743,-0.002622950589284301,0.004080179147422314,0.0,0.0,0.0,0.10012370347976685,0.08390475064516068,0.09648749977350235,0.10215355455875397,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,0.0011201179586350918,0:16:458,0.9942469000816345,0.0,0.0,neutral
0.13565000891685486,0.0,2878,-0.0018032785737887025,0.0028306818567216396,0.0,0.0,0.0,0.09728659689426422,0.08601443469524384,0.09768591076135635,0.10127494484186172,23.749557495117188,23.749557495117188,23.749557495117188,23.749557495117188,80.0,80.0,80.0,80.0,18.0,25.0,-0.0002983369049616158,0:16:578,0.9942469000816345,0.0,0.0,neutral
