gas,brake,rpm,steer,speed,g_force_x,g_force_y,g_force_z,wheel_slip_front_left,wheel_slip_front_right,wheel_slip_rear_left,wheel_slip_rear_right,pressure_front_left,pressure_front_right,pressure_rear_left,pressure_rear_right,tyre_temp_front_left,tyre_temp_front_right,tyre_temp_rear_left,tyre_temp_rear_right,air_temp,road_temp,yaw_rate,current_time_str,normalized_car_position,wind_speed,wind_direction,result
0.4119499921798706,0.0,2559,0.0037704918067902327,6.237415313720703,-1.1476291418075562,-0.11732639372348785,0.07062574476003647,0.103882797062397,0.06114108860492706,0.88099205493927,0.7780081629753113,26.283008575439453,26.283008575439453,26.283008575439453,26.283008575439453,80.0,80.0,80.0,80.0,0.0,0.0,0.0177309587597847,0:06:666,0.9943243265151978,0.0,0.0,low_grip_accelerate
0.4453999996185303,0.0,2562,0.0022950817365199327,7.050300121307373,-0.46188783645629883,-0.030198095366358757,-0.006677091121673584,0.09048190712928772,0.0644698515534401,0.25529733300209045,0.258255273103714,26.283008575439453,26.283008575439453,26.283008575439453,26.283008575439453,80.0,80.0,80.0,80.0,0.0,0.0,-0.004085499793291092,0:06:786,0.994366466999054,0.0,0.0,neutral
0.816349983215332,0.0,2605,0.0037704918067902327,8.113527297973633,0.572864830493927,0.024086011573672295,-0.004331787116825581,0.06902723759412766,0.08108587563037872,0.2905118763446808,0.30088871717453003,26.283008575439453,26.283008575439453,26.283008575439453,26.283008575439453,80.0,80.0,80.0,80.0,0.0,0.0,-0.0011604931205511093,0:06:906,0.9944134950637817,0.0,0.0,neutral
1.0,0.0,2629,0.0037704918067902327,10.474324226379395,0.5817213654518127,0.009028187952935696,-0.001319037051871419,0.0766017884016037,0.07162383198738098,0.27768322825431824,0.28388217091560364,26.282390594482422,26.282390594482422,26.282581329345703,26.282581329345703,79.99465942382812,79.99464416503906,79.99630737304688,79.99629974365234,0.0,0.0,0.0009712491882964969,0:07:026,0.9944705963134766,0.0,0.0,neutral
1.0,0.0,2629,0.002786885015666485,13.013648986816406,0.5585041642189026,0.0020490384194999933,-0.004189665429294109,0.0803057998418808,0.07158423215150833,0.25776931643486023,0.2609843611717224,26.279155731201172,26.279155731201172,26.280349731445312,26.280349731445312,79.96678161621094,79.96676635742188,79.97708129882812,79.9770736694336,0.0,0.0,-0.0012386421440169215,0:07:167,0.9945573806762695,0.0,0.0,neutral
1.0,0.0,2629,0.0022950817365199327,15.471728324890137,0.5614394545555115,-0.0008995005628094077,-0.004091833718121052,0.08033322542905807,0.07243115454912186,0.25721392035484314,0.25855299830436707,26.276023864746094,26.276020050048828,26.27819061279297,26.278186798095703,79.93978881835938,79.93975067138672,79.9584732055664,79.95844268798828,0.0,0.0,-0.001309679471887648,0:07:287,0.9946474432945251,0.0,0.0,neutral
1.0,0.0,2630,0.0022950817365199327,17.919261932373047,0.5629070401191711,-0.000728494196664542,-0.0040024989284574986,0.0803195908665657,0.07254351675510406,0.2580866515636444,0.25928351283073425,26.27291488647461,26.272903442382812,26.27605438232422,26.276046752929688,79.91297912597656,79.91290283203125,79.94001770019531,79.93998718261719,0.0,0.0,-0.0013557347701862454,0:07:407,0.9947531819343567,0.0,0.0,neutral
1.0,0.0,2631,0.0022950817365199327,20.42205238342285,0.5623996257781982,-0.0008856058120727539,-0.004138990305364132,0.08032017201185226,0.07249420881271362,0.2580501437187195,0.25922906398773193,26.269752502441406,26.269744873046875,26.27389144897461,26.273883819580078,79.8857421875,79.88566589355469,79.92143249511719,79.92137145996094,0.0,0.0,-0.0015558063751086593,0:07:527,0.9948741793632507,0.0,0.0,neutral
1.0,0.0,2632,0.002622950589284301,22.863048553466797,0.5619352459907532,-0.0018270837608724833,-0.0037996252067387104,0.080503448843956,0.07222731411457062,0.25784796476364136,0.2593785524368286,26.26669692993164,26.266685485839844,26.271804809570312,26.271793365478516,79.85943603515625,79.85930633544922,79.9034423828125,79.90335083007812,0.0,0.0,-0.0019858803134411573,0:07:647,0.9950100183486938,0.0,0.0,neutral
1.0,0.0,2635,0.002786885015666485,25.296520233154297,0.5596045255661011,-0.002211690181866288,-0.004533845465630293,0.08049891889095306,0.07213687151670456,0.2570796012878418,0.25894537568092346,26.263668060302734,26.263648986816406,26.269737243652344,26.269725799560547,79.83331298828125,79.83312225341797,79.88561248779297,79.8855209350586,0.0,0.0,-0.002396228024736047,0:07:788,0.9951890110969543,0.0,0.0,neutral
