gas,brake,rpm,steer,speed,g_force_x,g_force_y,g_force_z,wheel_slip_front_left,wheel_slip_front_right,wheel_slip_rear_left,wheel_slip_rear_right,pressure_front_left,pressure_front_right,pressure_rear_left,pressure_rear_right,tyre_temp_front_left,tyre_temp_front_right,tyre_temp_rear_left,tyre_temp_rear_right,air_temp,road_temp,yaw_rate,current_time_str,normalized_car_position,wind_speed,wind_direction,result
0.0,1.0,2350,0.0,0.030009377747774124,0.0,0.0,0.0,0.0952674001455307,0.0933430939912796,0.33930090069770813,0.3336762487888336,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,-6.246774137252942e-05,0:01:671,0.9997416734695435,0.0,0.0,neutral
0.0,1.0,2350,0.0,0.00828663632273674,0.0,0.0,0.0,0.093471460044384,0.09339381009340286,0.3287860155105591,0.3224920630455017,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,0.0001776784483809024,0:01:785,0.9997411370277405,0.0,0.0,neutral
0.0,1.0,2350,0.0,0.008919570595026016,0.0,0.0,0.0,0.09388645738363266,0.09292994439601898,0.3426206707954407,0.3360166847705841,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,2.1132287656655535e-05,0:01:926,0.9997411370277405,0.0,0.0,neutral
0.0,1.0,2350,0.0,0.0064500439912080765,0.0,0.0,0.0,0.09357458353042603,0.09280946105718613,0.35692858695983887,0.35000574588775635,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,-3.917489084415138e-05,0:02:040,0.9997411370277405,0.0,0.0,neutral
0.0,1.0,2350,0.0,0.04970458149909973,0.0,0.0,0.0,0.09283541142940521,0.09612579643726349,0.3436260223388672,0.33712664246559143,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,6.249488797038794e-05,0:02:181,0.9997411370277405,0.0,0.0,neutral
0.0,1.0,2350,0.0,0.00768421171233058,0.0,0.0,0.0,0.09181435406208038,0.09253495186567307,0.3284359574317932,0.3216414749622345,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,-3.9770737203070894e-05,0:02:295,0.9997411370277405,0.0,0.0,neutral
0.0,1.0,2350,0.0,0.007205627858638763,0.0,0.0,0.0,0.0924074798822403,0.09286274015903473,0.3290763795375824,0.3223990201950073,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,-3.0650733151560416e-06,0:02:409,0.9997411370277405,0.0,0.0,neutral
0.0,1.0,2350,0.0,0.012992150150239468,0.0,0.0,0.0,0.09167488664388657,0.09304553270339966,0.3421294689178467,0.33484557271003723,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,7.400819595204666e-05,0:02:550,0.9997411370277405,0.0,0.0,neutral
0.0,1.0,2350,0.0,0.01524971704930067,0.0,0.0,0.0,0.09187308698892593,0.09498966485261917,0.33599093556404114,0.3286830186843872,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,0.00026278605218976736,0:02:667,0.9997411370277405,0.0,0.0,neutral
0.23180001974105835,0.0,2784,-0.0004918032209388912,0.01341422088444233,0.0,0.0,0.0,0.06407038122415543,0.0689437985420227,0.1397802233695984,0.15443162620067596,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,5.571159636019729e-05,0:02:784,0.9997411370277405,0.0,0.0,neutral
0.2248000204563141,0.0,3157,-0.0004918032209388912,0.0020195378456264734,0.0,0.0,0.0,0.06149158254265785,0.06670040637254715,0.11054762452840805,0.11117225140333176,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,0.00010954603203572333,0:02:916,0.9997411370277405,0.0,0.0,neutral
0.24905002117156982,0.0,3494,-0.0004918032209388912,0.002214755630120635,0.0,0.0,0.0,0.0686008557677269,0.07053940743207932,0.10306914150714874,0.10700489580631256,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,3.0822215194348246e-05,0:03:045,0.9997411370277405,0.0,0.0,neutral
0.31209999322891235,0.0,4071,-0.0004918032209388912,0.0010228947503492236,0.0,0.0,0.0,0.07227881997823715,0.07745721936225891,0.10100319236516953,0.10318940877914429,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,1.530679401184898e-05,0:03:165,0.9997411370277405,0.0,0.0,neutral
0.3411000072956085,0.0,5079,-0.0004918032209388912,0.0014622719027101994,0.0,0.0,0.0,0.07603149861097336,0.0832819789648056,0.0969708263874054,0.10299655050039291,21.45198631286621,21.45198631286621,21.45198631286621,21.45198631286621,80.0,80.0,80.0,80.0,36.0,51.0,0.0001636205124668777,0:03:285,0.9997411370277405,0.0,0.0,neutral
